folder,model,param,run,solver,policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime,SolverMemOut,SATClauses,SATVars,SolverFailures
nlink-4,nlink-opt-4,opt.15,4,minion,tabnolim,0.387411,0.155,0,0.020992,0.666,1,0,330,0,7,0.026509,,,,
nlink-4,nlink-opt-4,opt.15,2,chuffed,tab,2.778,0.089,0,,2.351,1,0,945,0,,,,,,843
nlink-4,nlink-opt-4,opt.15,2,gecode,tabnolim,0.668,0.157,0,,0.948,1,0,617,0,,,,,,296
nlink-4,nlink-opt-4,opt.12,1,gecode,tabnolim,0.244,0.195,0,,2.054,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.12,3,ortools,tab,2.412,0.057,0,,0.956,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.15,1,kissmdd,tabnolim,0.47,0.241,0,,5.19,1,0,4826.0,0,,,0,985906,1785,
nlink-4,nlink-opt-4,opt.12,4,kissmdd,tab,0.18,0.113,0,,2.559,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.12,4,chuffed,notab,0.091,,0,,0.399,1,0,1614,0,,,,,,1497
nlink-4,nlink-opt-4,opt.15,5,kissmdd,tab,2.0,0.043,0,,1.089,1,0,82588.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.12,3,chuffed,tabnolim,0.162,0.169,0,,0.961,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,3,gecode,tabnolim,0.501,0.457,0,,2.317,1,0,617,0,,,,,,296
nlink-4,nlink-opt-4,opt.12,5,ortools,tab,2.52,0.207,0,,0.843,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.15,4,chuffed,notab,1.495,,0,,0.413,1,0,9593,0,,,,,,9290
nlink-4,nlink-opt-4,opt.15,1,gecode,notab,0.971,,0,,0.231,1,0,236304,0,,,,,,118143
nlink-4,nlink-opt-4,opt.15,2,minion,notab,0.999539,,0,0.998527,0.212,1,0,201743,0,7,0.000305,,,,
nlink-4,nlink-opt-4,opt.15,3,minion,notab,0.992888,,0,0.99289,0.178,1,0,201743,0,7,0,,,,
nlink-4,nlink-opt-4,opt.15,3,kissat,notab,0.23,,0,,0.896,1,0,29884.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.12,5,gecode,tab,0.144,0.174,0,,0.715,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.12,3,kissmdd,tabnolim,0.25,0.112,0,,1.596,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.12,4,gecode,tabnolim,0.602,0.409,0,,1.519,1,0,110,0,,,,,,47
